Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
East Asia & Pacific - WB,2015,Under 5 years,Both,Tuberculosis,Percent of total DALYs,0.001433786,0.001083257,0.002115062
East Asia & Pacific - WB,2015,Under 5 years,Both,HIV/AIDS,Percent of total DALYs,0.004012124,0.002557064,0.007633108
East Asia & Pacific - WB,2015,Under 5 years,Both,Diarrheal diseases,Percent of total DALYs,0.036639201,0.029590594,0.043521231
East Asia & Pacific - WB,2015,Under 5 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.007004835,0.003507332,0.012426325
East Asia & Pacific - WB,2015,Under 5 years,Both,Lower respiratory infections,Percent of total DALYs,0.125946138,0.112085271,0.13945237
East Asia & Pacific - WB,2015,Under 5 years,Both,Upper respiratory infections,Percent of total DALYs,0.00192888,0.001094086,0.003292702
East Asia & Pacific - WB,2015,Under 5 years,Both,Otitis media,Percent of total DALYs,0.002721595,0.001819228,0.003908167
East Asia & Pacific - WB,2015,Under 5 years,Both,Meningitis,Percent of total DALYs,0.016292443,0.0124161,0.021452998
East Asia & Pacific - WB,2015,Under 5 years,Both,Encephalitis,Percent of total DALYs,0.009577841,0.007927952,0.01136165
East Asia & Pacific - WB,2015,Under 5 years,Both,Diphtheria,Percent of total DALYs,3.02568E-05,9.71156E-06,7.53511E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Whooping cough,Percent of total DALYs,0.005191261,0.001187868,0.015850243
East Asia & Pacific - WB,2015,Under 5 years,Both,Tetanus,Percent of total DALYs,0.001871015,0.001435246,0.002505603
East Asia & Pacific - WB,2015,Under 5 years,Both,Measles,Percent of total DALYs,0.015329764,0.002842618,0.053129967
East Asia & Pacific - WB,2015,Under 5 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000276794,0.000191842,0.00040822
East Asia & Pacific - WB,2015,Under 5 years,Both,Malaria,Percent of total DALYs,0.002502078,0.001453743,0.004204523
East Asia & Pacific - WB,2015,Under 5 years,Both,Chagas disease,Percent of total DALYs,3.66E-12,1.96E-12,6.06E-12
East Asia & Pacific - WB,2015,Under 5 years,Both,Leishmaniasis,Percent of total DALYs,0.000384414,0.000244274,0.000620354
East Asia & Pacific - WB,2015,Under 5 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Schistosomiasis,Percent of total DALYs,4.08421E-06,2.16136E-06,1.00073E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Cysticercosis,Percent of total DALYs,8.21E-08,4.84E-08,1.30E-07
East Asia & Pacific - WB,2015,Under 5 years,Both,Cystic echinococcosis,Percent of total DALYs,2.08801E-05,1.45117E-05,2.96089E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Trachoma,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Dengue,Percent of total DALYs,0.007456695,0.004100305,0.011298538
East Asia & Pacific - WB,2015,Under 5 years,Both,Yellow fever,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Rabies,Percent of total DALYs,0.000175894,0.000127438,0.000231481
East Asia & Pacific - WB,2015,Under 5 years,Both,Intestinal nematode infections,Percent of total DALYs,0.001100406,0.000758118,0.001606582
East Asia & Pacific - WB,2015,Under 5 years,Both,Food-borne trematodiases,Percent of total DALYs,0.000124777,7.13184E-05,0.000196347
East Asia & Pacific - WB,2015,Under 5 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.002404511,0.00171987,0.003272754
East Asia & Pacific - WB,2015,Under 5 years,Both,Maternal hemorrhage,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Maternal hypertensive disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Indirect maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Late maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Other maternal disorders,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.164658177,0.149351055,0.182062436
East Asia & Pacific - WB,2015,Under 5 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.11131689,0.097611926,0.126611261
East Asia & Pacific - WB,2015,Under 5 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.039224765,0.029784306,0.053832785
East Asia & Pacific - WB,2015,Under 5 years,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.003790858,0.003253184,0.004431629
East Asia & Pacific - WB,2015,Under 5 years,Both,Other neonatal disorders,Percent of total DALYs,0.034231364,0.027113595,0.043958825
East Asia & Pacific - WB,2015,Under 5 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.01213074,0.009343861,0.015757137
East Asia & Pacific - WB,2015,Under 5 years,Both,Iodine deficiency,Percent of total DALYs,0.000068476,0.000034482,0.0001469
East Asia & Pacific - WB,2015,Under 5 years,Both,Vitamin A deficiency,Percent of total DALYs,0.00005681,2.85404E-05,9.58796E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.021237661,0.013872327,0.030709497
East Asia & Pacific - WB,2015,Under 5 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.006598292,0.003801722,0.01060967
East Asia & Pacific - WB,2015,Under 5 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.005878238,0.003201076,0.009964284
East Asia & Pacific - WB,2015,Under 5 years,Both,Hepatitis,Percent of total DALYs,0.000662962,0.000602033,0.000762659
East Asia & Pacific - WB,2015,Under 5 years,Both,Leprosy,Percent of total DALYs,8.94E-08,5.65E-08,1.36E-07
East Asia & Pacific - WB,2015,Under 5 years,Both,Other infectious diseases,Percent of total DALYs,0.004603655,0.002446554,0.006771837
East Asia & Pacific - WB,2015,Under 5 years,Both,Esophageal cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Stomach cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Liver cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Larynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,"Tracheal, bronchus, and lung cancer",Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Breast cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Cervical cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Uterine cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Prostate cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Colon and rectum cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Lip and oral cavity cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Nasopharynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Other pharynx cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Gallbladder and biliary tract cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Pancreatic cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Malignant skin melanoma,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Non-melanoma skin cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Ovarian cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Testicular cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Kidney cancer,Percent of total DALYs,0.000907556,0.000773796,0.001075237
East Asia & Pacific - WB,2015,Under 5 years,Both,Bladder cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Brain and nervous system cancer,Percent of total DALYs,0.002944279,0.002433138,0.003642387
East Asia & Pacific - WB,2015,Under 5 years,Both,Thyroid cancer,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Mesothelioma,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Hodgkin lymphoma,Percent of total DALYs,0.000118222,9.26587E-05,0.000144381
East Asia & Pacific - WB,2015,Under 5 years,Both,Non-Hodgkin lymphoma,Percent of total DALYs,0.001254691,0.001009655,0.001452877
East Asia & Pacific - WB,2015,Under 5 years,Both,Multiple myeloma,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Leukemia,Percent of total DALYs,0.00781251,0.006610495,0.009309155
East Asia & Pacific - WB,2015,Under 5 years,Both,Other neoplasms,Percent of total DALYs,0.003749385,0.003290745,0.004295376
East Asia & Pacific - WB,2015,Under 5 years,Both,Rheumatic heart disease,Percent of total DALYs,0.000708305,0.000591971,0.000870089
East Asia & Pacific - WB,2015,Under 5 years,Both,Ischemic heart disease,Percent of total DALYs,0.000222946,0.000190843,0.000269935
East Asia & Pacific - WB,2015,Under 5 years,Both,Cerebrovascular disease,Percent of total DALYs,0.003805745,0.003408166,0.004732637
East Asia & Pacific - WB,2015,Under 5 years,Both,Hypertensive heart disease,Percent of total DALYs,4.77797E-05,4.22034E-05,5.54042E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Cardiomyopathy and myocarditis,Percent of total DALYs,0.003981148,0.003418724,0.004367233
East Asia & Pacific - WB,2015,Under 5 years,Both,Atrial fibrillation and flutter,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Aortic aneurysm,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Peripheral vascular disease,Percent of total DALYs,0,0,0
East Asia & Pacific - WB,2015,Under 5 years,Both,Endocarditis,Percent of total DALYs,0.001086141,0.000891935,0.001381575
East Asia & Pacific - WB,2015,Under 5 years,Both,Other cardiovascular and circulatory diseases,Percent of total DALYs,0.005603746,0.004647028,0.007113519
East Asia & Pacific - WB,2015,Under 5 years,Both,Chronic obstructive pulmonary disease,Percent of total DALYs,0.002131209,0.001413709,0.003249618
East Asia & Pacific - WB,2015,Under 5 years,Both,Pneumoconiosis,Percent of total DALYs,5.39884E-06,3.27873E-06,7.94935E-06
East Asia & Pacific - WB,2015,Under 5 years,Both,Asthma,Percent of total DALYs,0.005733055,0.004275327,0.007764047
East Asia & Pacific - WB,2015,Under 5 years,Both,Interstitial lung disease and pulmonary sarcoidosis,Percent of total DALYs,0.000105969,7.88688E-05,0.000161357
East Asia & Pacific - WB,2015,Under 5 years,Both,Other chronic respiratory diseases,Percent of total DALYs,0.003414058,0.002527731,0.004572974
East Asia & Pacific - WB,2015,Under 5 years,Both,Cirrhosis and other chronic liver diseases due to hepatitis B,Percent of total DALYs,7.41997E-06,5.47727E-06,1.01252E-05
East Asia & Pacific - WB,2015,Under 5 years,Both,Cirrhosis and other chronic liver diseases due to hepatitis C,Percent of total DALYs,2.80965E-06,1.83838E-06,3.99637E-06
