Location,Year,Age,Sex,Cause,Measure,Value,Lower bound,Upper bound
East Asia & Pacific,2015,Under 5 years,Both,Tuberculosis,Percent of total DALYs,0.001433786,0.001083257,0.002115062
East Asia & Pacific,2015,Under 5 years,Both,Diarrheal diseases,Percent of total DALYs,0.036639201,0.029590594,0.043521231
East Asia & Pacific,2015,Under 5 years,Both,Intestinal infectious diseases,Percent of total DALYs,0.007004835,0.003507332,0.012426325
East Asia & Pacific,2015,Under 5 years,Both,Lower respiratory infections,Percent of total DALYs,0.125946138,0.112085271,0.13945237
East Asia & Pacific,2015,Under 5 years,Both,Upper respiratory infections,Percent of total DALYs,0.00192888,0.001094086,0.003292702
East Asia & Pacific,2015,Under 5 years,Both,Otitis media,Percent of total DALYs,0.002721595,0.001819228,0.003908167
East Asia & Pacific,2015,Under 5 years,Both,Meningitis,Percent of total DALYs,0.016292443,0.0124161,0.021452998
East Asia & Pacific,2015,Under 5 years,Both,Encephalitis,Percent of total DALYs,0.009577841,0.007927952,0.01136165
East Asia & Pacific,2015,Under 5 years,Both,Diphtheria,Percent of total DALYs,3.03E-05,9.71E-06,7.54E-05
East Asia & Pacific,2015,Under 5 years,Both,Whooping cough,Percent of total DALYs,0.005191261,0.001187868,0.015850243
East Asia & Pacific,2015,Under 5 years,Both,Tetanus,Percent of total DALYs,0.001871015,0.001435246,0.002505603
East Asia & Pacific,2015,Under 5 years,Both,Measles,Percent of total DALYs,0.015329764,0.002842618,0.053129967
East Asia & Pacific,2015,Under 5 years,Both,Varicella and herpes zoster,Percent of total DALYs,0.000276794,0.000191842,0.00040822
East Asia & Pacific,2015,Under 5 years,Both,Malaria,Percent of total DALYs,0.002502078,0.001453743,0.004204523
East Asia & Pacific,2015,Under 5 years,Both,Chagas disease,Percent of total DALYs,3.66E-12,1.96E-12,6.06E-12
East Asia & Pacific,2015,Under 5 years,Both,Leishmaniasis,Percent of total DALYs,0.000384414,0.000244274,0.000620354
East Asia & Pacific,2015,Under 5 years,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Schistosomiasis,Percent of total DALYs,4.08E-06,2.16E-06,1.00E-05
East Asia & Pacific,2015,Under 5 years,Both,Cysticercosis,Percent of total DALYs,8.21E-08,4.84E-08,1.30E-07
East Asia & Pacific,2015,Under 5 years,Both,Cystic echinococcosis,Percent of total DALYs,2.09E-05,1.45E-05,2.96E-05
East Asia & Pacific,2015,Under 5 years,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Onchocerciasis,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Trachoma,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Dengue,Percent of total DALYs,0.007456695,0.004100305,0.011298538
East Asia & Pacific,2015,Under 5 years,Both,Yellow fever,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Rabies,Percent of total DALYs,0.000175894,0.000127438,0.000231481
East Asia & Pacific,2015,Under 5 years,Both,Intestinal nematode infections,Percent of total DALYs,0.001100406,0.000758118,0.001606582
East Asia & Pacific,2015,Under 5 years,Both,Other neglected tropical diseases,Percent of total DALYs,0.002404511,0.00171987,0.003272754
East Asia & Pacific,2015,Under 5 years,Both,Maternal hemorrhage,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Maternal hypertensive disorders,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Indirect maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Late maternal deaths,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Other maternal disorders,Percent of total DALYs,0,0,0
East Asia & Pacific,2015,Under 5 years,Both,Neonatal preterm birth complications,Percent of total DALYs,0.164658177,0.149351055,0.182062436
East Asia & Pacific,2015,Under 5 years,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.11131689,0.097611926,0.126611261
East Asia & Pacific,2015,Under 5 years,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.039224765,0.029784306,0.053832785
East Asia & Pacific,2015,Under 5 years,Both,Other neonatal disorders,Percent of total DALYs,0.034231364,0.027113595,0.043958825
East Asia & Pacific,2015,Under 5 years,Both,Protein-energy malnutrition,Percent of total DALYs,0.01213074,0.009343861,0.015757137
East Asia & Pacific,2015,Under 5 years,Both,Iodine deficiency,Percent of total DALYs,0.000068476,0.000034482,0.0001469
East Asia & Pacific,2015,Under 5 years,Both,Vitamin A deficiency,Percent of total DALYs,0.00005681,2.85E-05,9.59E-05
East Asia & Pacific,2015,Under 5 years,Both,Iron-deficiency anemia,Percent of total DALYs,0.021237661,0.013872327,0.030709497
East Asia & Pacific,2015,Under 5 years,Both,Other nutritional deficiencies,Percent of total DALYs,0.006598292,0.003801722,0.01060967
East Asia & Pacific,2015,Under 5 years,Both,Sexually transmitted diseases excluding HIV,Percent of total DALYs,0.005878238,0.003201076,0.009964284
East Asia & Pacific,2015,Under 5 years,Both,Hepatitis,Percent of total DALYs,0.000662962,0.000602033,0.000762659
East Asia & Pacific,2015,Under 5 years,Both,Leprosy,Percent of total DALYs,8.94E-08,5.65E-08,1.36E-07
East Asia & Pacific,2015,Under 5 years,Both,Other infectious diseases,Percent of total DALYs,0.004603655,0.002446554,0.006771837
